accuracy,precision,recall,f1_score,f2_score,best_threshold,tp,tn,fp,fn,ml_type,balance_method,dataset
0.8127068166776968,0.6958920907418762,0.941908713692946,0.8004231311706629,0.8797085723143698,0.1499999999999999,1135,1321,496,70,lr,normal,normal_residual_cnn_features_32.csv
0.8461283917935142,0.75,0.921161825726141,0.8268156424581006,0.8809523809523809,0.2299999999999999,1110,1447,370,95,lr,normal,normal_residual_cnn_features_64.csv
0.8352084712111185,0.7333333333333333,0.9219917012448132,0.8169117647058823,0.8768745067087609,0.2299999999999999,1111,1413,404,94,lr,normal,normal_residual_cnn_features_128.csv
0.8325612177365983,0.7273910214703969,0.9278008298755188,0.8154631655725748,0.8793456032719836,0.2099999999999999,1118,1398,419,87,lr,normal,normal_residual_cnn_features_256.csv
0.8477829252150894,0.7436232831916285,0.9435684647302904,0.8317483540599854,0.8954166010395338,0.1799999999999999,1137,1425,392,68,lr,normal,over_sampled_residual_cnn_features_32.csv
0.7792852415618795,0.652321630804077,0.9560165975103736,0.7754964658364187,0.8745824476161554,0.1399999999999999,1152,1203,614,53,lr,normal,over_sampled_residual_cnn_features_64.csv
0.8385175380542687,0.7360105332455563,0.9278008298755188,0.8208516886930984,0.8818425619182837,0.2199999999999999,1118,1416,401,87,lr,normal,over_sampled_residual_cnn_features_128.csv
0.8563864990072799,0.7634996582365003,0.9269709543568464,0.8373313343328336,0.8889065732930129,0.2299999999999999,1117,1471,346,88,lr,normal,over_sampled_residual_cnn_features_256.csv
0.8338848444738584,0.7363819771351715,0.908713692946058,0.8135215453194651,0.8680830822895196,0.2399999999999999,1095,1425,392,110,lr,normal,under_sampled_residual_cnn_features_32.csv
0.8183322303110523,0.7062893081761006,0.9319502074688796,0.8035778175313059,0.87597503900156,0.1799999999999999,1123,1350,467,82,lr,normal,under_sampled_residual_cnn_features_64.csv
0.8371939113170086,0.7325505544683627,0.9319502074688796,0.8203067932797663,0.883834408940658,0.2099999999999999,1123,1407,410,82,lr,normal,under_sampled_residual_cnn_features_128.csv
0.8639973527465254,0.7811614730878187,0.9153526970954357,0.8429499426824608,0.8849486521181001,0.2699999999999999,1103,1508,309,102,lr,normal,under_sampled_residual_cnn_features_256.csv
0.8332230311052283,0.7245355541319667,0.9385892116182571,0.8177874186550976,0.8862247296661965,0.1899999999999999,1131,1387,430,74,lr,normal,weighted_residual_cnn_features_32.csv
0.7677035076108537,0.6401114206128133,0.9535269709543568,0.766,0.8684807256235828,0.1399999999999999,1149,1171,646,56,lr,normal,weighted_residual_cnn_features_64.csv
0.8246194573130378,0.7132027795325332,0.9369294605809128,0.8098995695839312,0.8816179915664533,0.1899999999999999,1129,1363,454,76,lr,normal,weighted_residual_cnn_features_128.csv
0.8206485771012575,0.7055176689398636,0.9443983402489626,0.8076650106458482,0.8845017876573916,0.1799999999999999,1138,1342,475,67,lr,normal,weighted_residual_cnn_features_256.csv
0.8057577763070815,0.6863691194209891,0.9443983402489626,0.7949703108627314,0.8783575177523927,0.1999999999999999,1138,1297,520,67,lr,under,normal_residual_cnn_features_32.csv
0.8434811383189941,0.7449799196787149,0.9236514522821576,0.8247499073731012,0.8813747228381374,0.2999999999999999,1113,1436,381,92,lr,under,normal_residual_cnn_features_64.csv
0.8206485771012575,0.7088846880907372,0.933609958506224,0.8058739255014327,0.8779459965662556,0.2699999999999999,1125,1355,462,80,lr,under,normal_residual_cnn_features_128.csv
0.8127068166776968,0.6963736939151813,0.9402489626556016,0.8001412429378532,0.8787032728400807,0.2499999999999999,1133,1323,494,72,lr,under,normal_residual_cnn_features_256.csv
0.8232958305757776,0.704199634814364,0.9601659751037344,0.8125,0.8950951570478106,0.1799999999999999,1157,1331,486,48,lr,under,over_sampled_residual_cnn_features_32.csv
0.8441429516876241,0.7506830601092896,0.9120331950207468,0.8235294117647058,0.8744430299172502,0.3299999999999998,1099,1452,365,106,lr,under,over_sampled_residual_cnn_features_64.csv
